,categories
0,"[""Social Science""]"
1,"[""Actresses""]"
2,"[""History""]"
3,"[""Medical""]"
4,"[""Design""]"
5,"[""Fiction""]"
6,"[""History""]"
7,
8,"[""Fiction""]"
9,"[""Fiction""]"
10,"[""Fiction""]"
11,"[""Banks and banking""]"
12,"[""Fiction""]"
13,
14,"[""Women""]"
15,
16,"[""Medical""]"
17,"[""Fiction""]"
18,"[""Fiction""]"
19,"[""African Americans""]"
20,"[""Humor""]"
21,"[""International cooking""]"
22,"[""Business & Economics""]"
23,"[""Juvenile Fiction""]"
24,"[""Juvenile Fiction""]"
25,"[""Juvenile Fiction""]"
26,"[""Fiction""]"
27,"[""Fiction""]"
28,"[""Fiction""]"
29,"[""Fiction""]"
30,"[""Fiction""]"
31,"[""Fiction""]"
32,"[""Canadian fiction""]"
33,[]
34,"[""German fiction""]"
35,[]
36,"[""Fiction""]"
37,"[""Fiction""]"
38,"[""Biography & Autobiography""]"
39,"[""Fiction""]"
40,"[""Fiction""]"
41,[]
42,"[""Health & Fitness""]"
43,"[""Fiction""]"
44,"[""Fiction""]"
45,"[""Fiction""]"
46,"[""Fiction""]"
47,"[""Fiction""]"
48,"[""Fiction""]"
49,"[""Fiction""]"
50,"[""Fiction""]"
51,"[""FICTION""]"
52,"[""Fiction""]"
53,"[""Medical""]"
54,"[""Political corruption""]"
55,"[""Northwest, Pacific""]"
56,"[""Fiction""]"
57,"[""Health & Fitness""]"
58,"[""Cooking""]"
59,"[""Fiction""]"
60,"[""Fiction""]"
61,"[""Juvenile Fiction""]"
62,"[""Fiction""]"
63,"[""Fiction""]"
64,"[""Medical""]"
65,"[""Russian fiction""]"
66,
67,"[""Fiction""]"
68,"[""Fiction""]"
69,"[""Fiction""]"
70,"[""Fiction""]"
71,
72,"[""Fiction""]"
73,"[""Humor""]"
74,"[""Biography & Autobiography""]"
75,"[""Political ethics""]"
76,"[""Body, Mind & Spirit""]"
77,"[""Fiction""]"
78,"[""Juvenile Fiction""]"
79,"[""Juvenile Fiction""]"
80,"[""Fiction""]"
81,"[""Fiction""]"
82,
83,"[""Age groups""]"
84,"[""Atlantis (Legendary place)""]"
85,"[""Biography & Autobiography""]"
86,"[""Biography & Autobiography""]"
87,"[""Business & Economics""]"
88,"[""Biography & Autobiography""]"
89,"[""Brothers""]"
90,"[""Fiction""]"
91,
92,
93,"[""Baggins, Frodo (Fictitious character)""]"
94,"[""True Crime""]"
95,"[""Fiction""]"
96,"[""Fiction""]"
97,"[""Fiction""]"
98,"[""Biography & Autobiography""]"
99,"[""Fiction""]"
100,[]
101,"[""BUSINESS & ECONOMICS""]"
102,"[""Fiction""]"
103,"[""Business & Economics""]"
104,"[""Business & Economics""]"
105,"[""Fiction""]"
106,"[""Acupuncture""]"
107,"[""Fiction""]"
108,"[""Erotic literature, Spanish American""]"
109,"[""Fiction""]"
110,"[""Fiction""]"
111,"[""Babylon 5 (Television program)""]"
112,"[""Fiction""]"
113,"[""Fiction""]"
114,"[""Fiction""]"
115,"[""Fiction""]"
116,"[""Fiction""]"
117,"[""Fiction""]"
118,"[""Fiction""]"
119,"[""Fiction""]"
120,"[""Fiction""]"
121,"[""True Crime""]"
122,"[""Humor""]"
123,"[""Fiction""]"
124,"[""Humor""]"
125,"[""True Crime""]"
126,"[""Fiction""]"
127,"[""Biography & Autobiography""]"
128,"[""Fiction""]"
129,"[""Fiction""]"
130,"[""Biography & Autobiography""]"
131,"[""Domestic fiction""]"
132,"[""England""]"
133,"[""Fiction""]"
134,"[""Fiction""]"
135,"[""Fiction""]"
136,"[""Fiction""]"
137,"[""Fiction""]"
138,"[""Retreats""]"
139,"[""Fiction""]"
140,"[""Business & Economics""]"
141,"[""Fiction""]"
142,"[""Fiction""]"
143,"[""Fiction""]"
144,"[""Fiction""]"
145,"[""Fiction""]"
146,"[""Philosophy""]"
147,"[""Family & Relationships""]"
148,"[""Fiction""]"
149,"[""Adultery""]"
150,"[""Self-Help""]"
151,"[""Diary fiction""]"
152,"[""Juvenile Fiction""]"
153,"[""Fiction""]"
154,"[""Fiction""]"
155,"[""Cats""]"
156,"[""Fiction""]"
157,"[""Fiction""]"
158,"[""Fiction""]"
159,"[""Actors""]"
160,"[""Pennsylvania""]"
161,"[""Fiction""]"
162,"[""Humorous stories""]"
163,"[""Fiction""]"
164,"[""Drama""]"
165,"[""Fiction""]"
166,"[""Diary fiction""]"
167,"[""Fiction""]"
168,"[""Children's stories""]"
169,"[""Juvenile Fiction""]"
170,"[""Juvenile Fiction""]"
171,"[""Fiction""]"
172,"[""Family & Relationships""]"
173,"[""Family & Relationships""]"
174,"[""Fiction""]"
175,"[""Interplanetary voyages""]"
176,[]
177,[]
178,[]
179,"[""Fiction""]"
180,"[""Mars (Planet)""]"
181,[]
182,"[""Boys""]"
183,[]
184,[]
185,[]
186,[]
187,"[""Fiction""]"
188,[]
189,[]
190,[]
191,"[""Hawaii""]"
192,[]
193,"[""German language""]"
194,"[""American wit and humor""]"
195,"[""American fiction""]"
196,[]
197,[]
198,"[""Bloom, Leopold (Fictitious character)""]"
199,[]
200,[]
201,[]
202,"[""Fiction""]"
203,"[""Fiction""]"
204,"[""African American psychologists""]"
205,"[""Fiction""]"
206,"[""Fiction""]"
207,"[""Fiction""]"
208,"[""Fiction""]"
209,"[""Coffee shops""]"
210,"[""Fiction""]"
211,"[""Fiction""]"
212,"[""Fiction""]"
213,"[""Fiction""]"
214,"[""Juvenile Fiction""]"
215,"[""Fiction""]"
216,"[""Fiction""]"
217,"[""Fiction""]"
218,"[""Fiction""]"
219,"[""Fiction""]"
220,"[""Fiction""]"
221,"[""Fiction""]"
222,"[""Young Adult Fiction""]"
223,"[""Fiction""]"
224,"[""Fiction""]"
225,
226,
227,"[""Fiction""]"
228,"[""Fiction""]"
229,"[""Fiction""]"
230,"[""Fiction""]"
231,"[""Fiction""]"
232,"[""Fiction""]"
233,"[""Fiction""]"
234,"[""Juvenile Fiction""]"
235,"[""Clifford (Fictitious character : Bridwell)""]"
236,
237,"[""Fiction""]"
238,"[""Biography & Autobiography""]"
239,
240,"[""Biography & Autobiography""]"
241,"[""Biography & Autobiography""]"
242,"[""Fiction""]"
243,"[""Fiction""]"
244,"[""Family & Relationships""]"
245,"[""Fiction""]"
246,"[""Fiction""]"
247,"[""Fiction""]"
248,"[""Humor""]"
249,"[""Fiction""]"
250,"[""Parables""]"
251,"[""England""]"
252,"[""Fiction""]"
253,"[""Fiction""]"
254,"[""Fiction""]"
255,"[""Fiction""]"
256,"[""Juvenile Fiction""]"
257,"[""Juvenile Fiction""]"
258,
259,"[""Fiction""]"
260,"[""Fiction""]"
261,"[""Fiction""]"
262,"[""Fiction""]"
263,"[""Juvenile Fiction""]"
264,"[""Adoptees""]"
265,"[""Juvenile Fiction""]"
266,"[""Fiction""]"
267,"[""Fiction""]"
